compound,sentence_type,sentence,image_name,image_caption,label
hot potato,idiomatic,"The pipeline is set to create a human rights disaster in the region, and has become such a hot potato that the Bank has postponed the decision.",46916305307.png,"The image depicts two cartoon-style characters standing behind podiums, engaged in what appears to be a debate or public speaking event. Both characters are dressed in formal attire, consisting of suits and ties. The character on the left has dark hair and is gesturing with one hand while speaking into a microphone attached to the podium. The character on the right has light-colored hair and is also gesturing with one hand while speaking into a microphone. The podiums are wooden and have microphones attached to them. The background is plain white, emphasizing the characters and their actions.",1
hot potato,idiomatic,"The pipeline is set to create a human rights disaster in the region, and has become such a hot potato that the Bank has postponed the decision.",00316911039.png,"The image depicts an oven with a large potato placed inside on a baking sheet. The oven door is open, revealing the interior and the potato. The potato appears to be whole and unpeeled, with a golden-brown color indicating it might be roasted or baked. There are steam or smoke emanating from the potato, suggesting that it is being cooked. The oven has a digital display at the top, which shows a timer or temperature setting, but the specific details on the display are not clear. The oven itself has a modern design with a sleek black exterior.",0
hot potato,idiomatic,"The pipeline is set to create a human rights disaster in the region, and has become such a hot potato that the Bank has postponed the decision.",71196374341.png,"The image depicts an old, rolled-up parchment or scroll. The parchment is partially unrolled, revealing several lines of text written in a cursive script. The scroll is tied with a red ribbon and sealed with a wax seal, which has a decorative design on it. The background is plain white, which helps to highlight the details of the parchment and its sealing.",0
act of god,idiomatic,"Whether an event is intentional, accidental or an act of God, knowing how to properly respond when a crisis occurs in the workplace is critical.",80127117511.png,"The image depicts a scene where a large tree has fallen onto a car, causing significant damage. The tree is green and appears to have been uprooted or broken off at the base, with debris scattered around. The car, which is dark-colored, has its hood open, indicating that it might be damaged internally as well. A person, who appears to be a woman, is standing nearby, looking at the fallen tree and the damaged car. She is wearing an orange top and a black skirt. The background is plain white, which helps to emphasize the dramatic nature of the scene.",1
act of god,idiomatic,"Whether an event is intentional, accidental or an act of God, knowing how to properly respond when a crisis occurs in the workplace is critical.",51312988406.png,"The image depicts a whimsical scene featuring a large, fluffy cloud with a face and a beard. The cloud has a human-like appearance, with a prominent nose, eyes, and a mouth. It is sitting on a branch that extends from the ground into the sky. A small orange cat with white paws and a white tail is perched on the branch, looking up at the cloud. The cat appears to be waving or greeting the cloud. In the background, there are several birds flying in the sky, adding to the playful and imaginative atmosphere of the scene. The overall style is cartoonish and imaginative, blending elements of nature and fantasy.",0
act of god,idiomatic,"Whether an event is intentional, accidental or an act of God, knowing how to properly respond when a crisis occurs in the workplace is critical.",25535728219.png,"The image depicts a vintage-style portable radio receiver. The device has a rectangular shape with rounded edges and is primarily orange in color. It features two large speakers on the front, which are circular and have a metallic finish. Above the speakers, there is a small display screen, likely for showing the current frequency or station information. Below the display screen, there are several buttons and knobs, presumably for tuning and adjusting the radio settings. The top of the radio has a handle, suggesting it is designed to be portable. The overall design is reminiscent of mid-20th century audio equipment.",0
chicken feed,idiomatic,"In comparison, the $2 billion spent on transit expansion is chicken feed.",26714529074.png,"The image shows a hand holding two coins. The coin on the left is copper-colored with an embossed design of a bird in flight, possibly a hummingbird or a similar small bird. The coin on the right is black and has a similar embossed design, but it appears to be more intricate, possibly depicting a flower or another detailed pattern. Both coins have text around the edge, which is not fully legible in the image. The hand is open, displaying the coins prominently against a plain background.",1
chicken feed,idiomatic,"In comparison, the $2 billion spent on transit expansion is chicken feed.",30913213178.png,"The image depicts two cartoon-style chickens standing on a wooden log. The chicken on the left is black with a red comb and wattle, while the chicken on the right is white with an orange comb and wattle. They are both looking at each other and appear to be sharing or feeding each other from a pile of seeds in front of them. The background is minimalistic, featuring a few small flowers and a white background. The overall scene has a playful and friendly atmosphere.",0
chicken feed,idiomatic,"In comparison, the $2 billion spent on transit expansion is chicken feed.",43154236098.png,"The image depicts a lizard standing on a rock formation. The lizard has a distinctive appearance with a mix of orange and black scales, and it features spiky protrusions along its back and tail. The rock is brownish in color and has a rough texture, with some patches of green grass growing at the base. The background is plain white, which helps to highlight the lizard and the rock formation.",0
thin ice,idiomatic,"Investors in both instances were already tiptoeing on thin ice, knowing that the longest US stock market bull run in history was showing signs of overheating.",66964681897.png,"The image depicts a person climbing a steep, rocky cliff. The climber is wearing an orange shirt and dark pants, and they appear to be in the process of ascending the cliff face. The cliff itself is rugged and jagged, with various shades of gray and brown, suggesting a natural, possibly volcanic rock formation. The climber's arms are extended upwards, reaching for the next hold, while their legs are bent as they push off from the previous foothold. Small rocks and debris can be seen falling or being dislodged from the cliff, indicating the dynamic nature of the climb. The background is plain white, which helps to emphasize the climber and the cliff.",1
